Job Title,Company Name,Location,Start Date,CTC (Annual),Experience,Apply By,Skills Required,Perks
Sales Consultant,Brisk Elevators & Escalators Pvt Ltd,N/A,Starts immediatelyImmediately,N/A,N/A,6 Months,"Client Relationship Management (CRM), Effective Communication, MS-Excel, MS-Word, Certificate, Letter of recommendation, Job offer","Client Relationship Management (CRM), Effective Communication, MS-Excel, MS-Word"
Business Development (Sales),CyberFrat,N/A,Starts immediatelyImmediately,N/A,N/A,2 Months,"Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Sales, Certificate, Letter of recommendation, Job offer","Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Sales"
Digital Marketing,SOCIOTOPS MARKETING PRIVATE LIMITED,N/A,Starts immediatelyImmediately,N/A,N/A,3 Months,"Canva, Creative Writing, Digital Marketing, Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Certificate, Job offer","Canva, Creative Writing, Digital Marketing, Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing"
Social Media Marketing,Aasha Realtors,N/A,Starts immediatelyImmediately,N/A,N/A,6 Months,"Adobe Photoshop, Canva, Digital Marketing, Search Engine Optimization (SEO), Social Media Marketing, Video Editing, Certificate, Letter of recommendation, Job offer","Adobe Photoshop, Canva, Digital Marketing, Search Engine Optimization (SEO), Social Media Marketing, Video Editing"
Business Development (Sales),Amplicomm Solutions Private Limited,N/A,Starts immediatelyImmediately,N/A,N/A,6 Months,"Effective Communication, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, Lead Generation, MS-Excel, Organizational Development, Research and Analytics, Sales, Social Media Marketing, Time Management, Certificate, Letter of recommendation, 5 days a week, Free snacks & beverages, Job offer","Effective Communication, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, Lead Generation, MS-Excel, Organizational Development, Research and Analytics, Sales, Social Media Marketing, Time Management"
Marketing,Exzellenz Career Shapers Private Limited,N/A,Starts immediatelyImmediately,N/A,N/A,2 Months,"Effective Communication, Marketing Campaigns, Presentation skills, Certificate, Letter of recommendation, Job offer","Effective Communication, Marketing Campaigns, Presentation skills"
Law/Legal,Growthify JurisAI Private Limited,N/A,Starts immediatelyImmediately,N/A,N/A,6 Months,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Legal Drafting, Legal Writing, MS-Office, MS-Word, Certificate, Letter of recommendation, Job offer","Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Legal Drafting, Legal Writing, MS-Office, MS-Word"
Furniture And Lighting Design,Home Canvas,N/A,Starts immediatelyImmediately,N/A,N/A,4 Months,"Design Thinking, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages, Job offer",Design Thinking
Law/Legal,Business Setup Worldwide,N/A,Starts immediatelyImmediately,N/A,N/A,3 Months,"Client Interaction, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, MS-Office, Problem Solving, Certificate, Informal dress code, 5 days a week, Job offer","Client Interaction, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, MS-Office, Problem Solving"
Business Development (Sales),Off Beat Travels,N/A,Starts immediatelyImmediately,N/A,N/A,4 Months,"Client Relationship, Customer Support, English Proficiency (Spoken), Travel Management, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Free snacks & beverages, Job offer","Client Relationship, Customer Support, English Proficiency (Spoken), Travel Management"
Social Media Marketing,Global Creative Services LLC,N/A,Starts immediatelyImmediately,N/A,N/A,3 Months,"Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Certificate, Letter of recommendation, 5 days a week, Job offer","Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing"
College Representative (Marketing),Tripple One Solutions,N/A,Starts immediatelyImmediately,N/A,N/A,1 Month,"Marketing Strategy, Certificate, Letter of recommendation, Job offer",Marketing Strategy
Video Editing/Making,Zero Dimensions,N/A,Starts immediatelyImmediately,N/A,N/A,6 Months,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Job offer","Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro"
Graphic Design,Happiness Plans,N/A,Starts immediatelyImmediately,N/A,N/A,3 Months,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe Photoshop Lightroom CC, Adobe Premiere Pro, Canva, CorelDRAW, UI & UX Design, Video Editing, Certificate, Letter of recommendation, Job offer","Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe Photoshop Lightroom CC, Adobe Premiere Pro, Canva, CorelDRAW, UI & UX Design, Video Editing"
Business Development (Sales),Gigde Global Solutions Private Limited,N/A,Starts immediatelyImmediately,N/A,N/A,6 Months,"English Proficiency (Spoken), Marketing, Sales, Certificate, Letter of recommendation, Job offer","English Proficiency (Spoken), Marketing, Sales"
Business Development (Sales),Alphanumeric Ideas Private Limited,N/A,Starts immediatelyImmediately,N/A,N/A,3 Months,"Client Relationship, Effective Communication, English Proficiency (Spoken), Sales, Social Media Marketing, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages, Job offer","Client Relationship, Effective Communication, English Proficiency (Spoken), Sales, Social Media Marketing"
Partnership Manager,QuadB Tech,N/A,Starts immediatelyImmediately,N/A,N/A,6 Months,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Presentation skills, Certificate, Letter of recommendation, 5 days a week, Job offer","Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Presentation skills"
Business Development (Sales),QuadB Tech,N/A,Starts immediatelyImmediately,N/A,N/A,6 Months,"Client Relationship, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Influencer Marketing, Lead Generation, Sales, Social Media Marketing, Certificate, Letter of recommendation, Informal dress code, 5 days a week, Job offer","Client Relationship, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Influencer Marketing, Lead Generation, Sales, Social Media Marketing"
Business Development,SmartXaaS LLP,N/A,Starts immediatelyImmediately,N/A,N/A,3 Months,"Business Development, Client Relationship Management (CRM), English Proficiency (Spoken), English Proficiency (Written), Lead Generation, Sales, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Free snacks & beverages, Job offer","Business Development, Client Relationship Management (CRM), English Proficiency (Spoken), English Proficiency (Written), Lead Generation, Sales"
Business Development (Sales),Butter Batter,N/A,Starts immediatelyImmediately,N/A,N/A,1 Month,"Client Interaction, Client Relationship, Effective Communication, English Proficiency (Spoken), Interpersonal skills, Marketing, Sales, Sales Strategy, Certificate, Job offer","Client Interaction, Client Relationship, Effective Communication, English Proficiency (Spoken), Interpersonal skills, Marketing, Sales, Sales Strategy"
